Mean color of all country flags (R, G, B)
no: [0.7567058823529412, 0.3163921568627451, 0.3726013071895425]
nc: [0.35515686274509806, 0.4228823529411765, 0.3255686274509804]
nz: [0.1833921568627451, 0.20890196078431372, 0.44619607843137254]
om: [0.6824509803921569, 0.43766666666666665, 0.32162745098039214]
ug: [0.648235294117647, 0.3384917043740573, 0.04484162895927602]
uz: [0.42580392156862745, 0.7343921568627451, 0.6228235294117647]
pk: [0.31947209653092007, 0.49082956259426846, 0.39177978883861236]
pw: [0.18378582202111615, 0.6733936651583711, 0.8162141779788838]
ps: [0.37701960784313726, 0.39437254901960783, 0.33750980392156865]
pa: [0.7035595776772248, 0.5247963800904978, 0.5873303167420815]
pg: [0.432156862745098, 0.0923921568627451, 0.08873202614379085]
py: [0.6049910873440285, 0.4576470588235294, 0.5856327985739751]
nl: [0.6041930618401207, 0.4615082956259427, 0.5673906485671192]
pe: [0.9003921568627451, 0.3749019607843137, 0.42470588235294116]
ph: [0.5329411764705883, 0.32298039215686275, 0.5018823529411764]
pn: [0.21290196078431373, 0.25066666666666665, 0.4203137254901961]
pl: [0.9312217194570136, 0.539366515837104, 0.6177978883861237]
pf: [0.8833031674208145, 0.49493212669683256, 0.5327752639517346]
pr: [0.7035444947209654, 0.3829562594268477, 0.5507692307692308]
pt: [0.6513876319758672, 0.21745098039215685, 0.02942684766214178]
qa: [0.6965196078431373, 0.3929901960784314, 0.4835294117647059]
sy: [0.5718552036199095, 0.33918552036199096, 0.359185520361991]
cf: [0.5964253393665159, 0.5557466063348416, 0.3762292609351433]
re: [0.4811764705882353, 0.3609954751131222, 0.6479034690799397]
ro: [0.5986274509803922, 0.35137254901960785, 0.24411764705882352]
gb: [0.6531960784313725, 0.41852941176470587, 0.5381764705882353]
ru: [0.6111613876319759, 0.4636500754147813, 0.5894419306184012]
rw: [0.29283559577677226, 0.6176621417797888, 0.47945701357466064]
eh: [0.36941176470588233, 0.38394117647058823, 0.3204705882352941]
bl: [0.9129562594268477, 0.8846757164404223, 0.8547963800904977]
kn: [0.3733031674208145, 0.31969834087481147, 0.16642533936651585]
sm: [0.6482875816993464, 0.7984183006535948, 0.8592941176470589]
mf: [0.6429411764705882, 0.4323529411764706, 0.6025490196078431]
sx: [0.540105580693816, 0.2971945701357466, 0.4340422322775264]
pm: [0.40588235294117647, 0.5616289592760181, 0.4885067873303167]
va: [0.9939411764705882, 0.9229705882352941, 0.4618333333333333]
vc: [0.4277073906485671, 0.5444796380090497, 0.2283107088989442]
sh: [0.19103921568627452, 0.22547058823529412, 0.44584313725490193]
lc: [0.446156862745098, 0.7765490196078432, 0.8947254901960784]
